DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
12-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,11.50,308.056,104.418,201.250,18.640,14.48443,%,106.806,16.295,92.475,285.00,38889.00,385,,production,OP
13-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,303.034,105.403,182.145,16.467,22.83299,%,120.889,53.374,89.620,1870.00,285246.00,7,,production,OP
14-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,22.50,295.586,105.775,181.868,12.660,31.24997,%,113.718,72.738,80.120,3124.00,509955.00,1,,production,OP
15-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.15,297.663,105.752,180.832,5.264,28.51893,%,116.831,69.996,84.251,2608.00,383427.00,1,,production,OP
16-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,295.936,105.811,180.501,12.385,30.22790,%,115.434,71.518,82.359,3052.00,418474.00,5,,production,OP
17-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,295.552,105.831,180.346,14.385,29.97405,%,115.206,73.642,82.169,2983.00,422763.00,2,,production,OP
18-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.00,294.211,105.866,180.929,15.980,30.30840,%,113.282,74.160,80.263,2981.00,413831.00,6,,production,OP
19-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,293.829,105.868,180.060,18.811,30.48698,%,113.769,74.902,81.275,3046.00,429218.00,1,,production,OP
20-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,293.061,105.879,179.662,19.741,29.90702,%,113.400,73.039,80.774,3057.00,442983.00,0,,production,OP
21-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,292.540,105.883,179.434,19.432,30.49301,%,113.106,71.737,79.975,3030.00,423809.00,0,,production,OP
22-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.67,292.362,105.882,179.282,1.039,29.63448,%,113.079,72.327,79.948,2908.00,397808.00,0,,production,OP
23-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,15.14,292.088,105.849,179.486,11.011,28.95718,%,112.603,69.597,79.162,1852.00,252078.00,0,,production,OP
24-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,290.542,105.906,179.355,8.583,30.79962,%,111.187,73.193,77.932,3127.00,442808.00,0,,production,OP
25-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,290.208,105.896,178.758,12.304,30.68344,%,111.450,73.108,78.257,3046.00,439178.00,0,,production,OP
26-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,289.536,105.902,178.603,12.506,30.92304,%,110.934,72.308,77.723,3047.00,446905.00,0,,production,OP
27-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,288.933,105.902,178.608,12.376,30.84932,%,110.326,74.702,77.128,3036.00,445616.00,0,,production,OP
28-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.67,288.848,105.896,178.220,10.150,29.90044,%,110.629,73.451,77.465,2972.00,424674.00,0,,production,OP
29-Feb-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,287.514,105.907,178.067,11.424,31.02388,%,109.447,73.396,76.212,3071.00,450348.00,0,,production,OP
01-Mar-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,286.892,105.909,178.065,11.156,31.06188,%,108.827,74.604,75.573,3068.00,447584.00,0,,production,OP
02-Mar-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,286.265,105.911,177.944,11.223,31.08744,%,108.321,75.218,74.762,3067.00,446144.00,0,,production,OP
03-Mar-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,285.728,105.910,177.669,10.866,30.96447,%,108.059,75.124,74.361,3044.00,443726.00,0,,production,OP
04-Mar-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,285.382,105.904,177.307,9.829,30.60221,%,108.075,74.281,74.441,2983.00,430247.00,0,,production,OP
05-Mar-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,284.829,105.902,176.960,9.323,30.57649,%,107.869,72.500,74.262,2967.00,437688.00,0,,production,OP
