DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
12-Feb-08,NO 15/9-F-12 H,"38,889"
13-Feb-08,NO 15/9-F-12 H,"285,246"
14-Feb-08,NO 15/9-F-12 H,"509,955"
15-Feb-08,NO 15/9-F-12 H,"383,427"
16-Feb-08,NO 15/9-F-12 H,"418,474"
17-Feb-08,NO 15/9-F-12 H,"422,763"
18-Feb-08,NO 15/9-F-12 H,"413,831"
19-Feb-08,NO 15/9-F-12 H,"429,218"
20-Feb-08,NO 15/9-F-12 H,"442,983"
21-Feb-08,NO 15/9-F-12 H,"423,809"
22-Feb-08,NO 15/9-F-12 H,"397,808"
23-Feb-08,NO 15/9-F-12 H,"252,078"
24-Feb-08,NO 15/9-F-12 H,"442,808"
25-Feb-08,NO 15/9-F-12 H,"439,178"
26-Feb-08,NO 15/9-F-12 H,"446,905"
27-Feb-08,NO 15/9-F-12 H,"445,616"
28-Feb-08,NO 15/9-F-12 H,"424,674"
29-Feb-08,NO 15/9-F-12 H,"450,348"
01-Mar-08,NO 15/9-F-12 H,"447,584"
02-Mar-08,NO 15/9-F-12 H,"446,144"
03-Mar-08,NO 15/9-F-12 H,"443,726"
04-Mar-08,NO 15/9-F-12 H,"430,247"
05-Mar-08,NO 15/9-F-12 H,"437,688"
06-Mar-08,NO 15/9-F-12 H,"432,727"
07-Mar-08,NO 15/9-F-12 H,"391,265"
08-Mar-08,NO 15/9-F-12 H,"365,769"
09-Mar-08,NO 15/9-F-12 H,"427,791"
10-Mar-08,NO 15/9-F-12 H,"440,679"
11-Mar-08,NO 15/9-F-12 H,"450,972"
12-Mar-08,NO 15/9-F-12 H,"418,887"
13-Mar-08,NO 15/9-F-12 H,"458,524"
14-Mar-08,NO 15/9-F-12 H,"428,015"
15-Mar-08,NO 15/9-F-12 H,"454,137"
16-Mar-08,NO 15/9-F-12 H,"454,798"
17-Mar-08,NO 15/9-F-12 H,"470,240"
18-Mar-08,NO 15/9-F-12 H,"425,284"
19-Mar-08,NO 15/9-F-12 H,"454,093"
20-Mar-08,NO 15/9-F-12 H,"467,466"
21-Mar-08,NO 15/9-F-12 H,"458,447"
22-Mar-08,NO 15/9-F-12 H,"458,028"
23-Mar-08,NO 15/9-F-12 H,"466,335"
24-Mar-08,NO 15/9-F-12 H,"468,480"
25-Mar-08,NO 15/9-F-12 H,"406,562"
26-Mar-08,NO 15/9-F-12 H,"113,341"
27-Mar-08,NO 15/9-F-12 H,0
28-Mar-08,NO 15/9-F-12 H,"48,936"
29-Mar-08,NO 15/9-F-12 H,"509,075"
30-Mar-08,NO 15/9-F-12 H,"137,396"
31-Mar-08,NO 15/9-F-12 H,"378,533"
01-Apr-08,NO 15/9-F-12 H,"457,837"
02-Apr-08,NO 15/9-F-12 H,"461,809"
03-Apr-08,NO 15/9-F-12 H,"372,986"
04-Apr-08,NO 15/9-F-12 H,"463,717"
05-Apr-08,NO 15/9-F-12 H,"463,530"
06-Apr-08,NO 15/9-F-12 H,"440,906"
07-Apr-08,NO 15/9-F-12 H,"452,369"
08-Apr-08,NO 15/9-F-12 H,"451,030"
09-Apr-08,NO 15/9-F-12 H,"463,595"
10-Apr-08,NO 15/9-F-12 H,"468,712"
11-Apr-08,NO 15/9-F-12 H,"458,937"
12-Apr-08,NO 15/9-F-12 H,"242,280"
13-Apr-08,NO 15/9-F-12 H,"65,731"
14-Apr-08,NO 15/9-F-12 H,"413,143"
15-Apr-08,NO 15/9-F-12 H,"400,308"
16-Apr-08,NO 15/9-F-12 H,"462,315"
17-Apr-08,NO 15/9-F-12 H,"184,081"
18-Apr-08,NO 15/9-F-12 H,"372,537"
19-Apr-08,NO 15/9-F-12 H,"383,126"
20-Apr-08,NO 15/9-F-12 H,"418,499"
21-Apr-08,NO 15/9-F-12 H,"426,345"
22-Apr-08,NO 15/9-F-12 H,"422,379"
23-Apr-08,NO 15/9-F-12 H,"422,115"
24-Apr-08,NO 15/9-F-12 H,"474,459"
25-Apr-08,NO 15/9-F-12 H,"480,457"
26-Apr-08,NO 15/9-F-12 H,"481,823"
27-Apr-08,NO 15/9-F-12 H,"350,826"
29-Apr-08,NO 15/9-F-12 H,"90,824"
30-Apr-08,NO 15/9-F-12 H,"459,765"
01-May-08,NO 15/9-F-12 H,"471,210"
02-May-08,NO 15/9-F-12 H,"486,368"
03-May-08,NO 15/9-F-12 H,"474,305"
04-May-08,NO 15/9-F-12 H,"493,120"
05-May-08,NO 15/9-F-12 H,"491,323"
06-May-08,NO 15/9-F-12 H,"489,872"
07-May-08,NO 15/9-F-12 H,"489,343"
08-May-08,NO 15/9-F-12 H,"488,607"
09-May-08,NO 15/9-F-12 H,"489,394"
10-May-08,NO 15/9-F-12 H,"524,276"
11-May-08,NO 15/9-F-12 H,"567,340"
12-May-08,NO 15/9-F-12 H,"612,762"
13-May-08,NO 15/9-F-12 H,"648,381"
14-May-08,NO 15/9-F-12 H,"651,573"
15-May-08,NO 15/9-F-12 H,"671,085"
16-May-08,NO 15/9-F-12 H,"696,343"
